OUTLET,division,division_id,Paper Count,Total Papers,Fraction
PloS One,Biomedical And Clinical Sciences,320000,848,2098,0.4
PloS One,Biological Sciences,310000,482,2098,0.23
PloS One,Health Sciences,420000,240,2098,0.11
PloS One,"Agricultural, Veterinary And Food Sciences",300000,183,2098,0.09
PloS One,Psychology,520000,47,2098,0.02
PloS One,Physical Sciences,510000,42,2098,0.02
PloS One,Mathematical Sciences,490000,41,2098,0.02
PloS One,Environmental Sciences,410000,39,2098,0.02
PloS One,Chemical Sciences,340000,34,2098,0.02
PloS One,Engineering,400000,31,2098,0.01
PloS One,Information And Computing Sciences,460000,23,2098,0.01
PloS One,Economics,380000,20,2098,0.01
PloS One,"History, Heritage And Archaeology",430000,12,2098,0.01
PloS One,Education,390000,10,2098,0.0
PloS One,"Commerce, Management, Tourism And Services",350000,8,2098,0.0
PloS One,Earth Sciences,370000,8,2098,0.0
PloS One,Indigenous Studies,450000,8,2098,0.0
PloS One,Human Society,440000,7,2098,0.0
PloS One,Philosophy And Religious Studies,500000,7,2098,0.0
PloS One,"Language, Communication And Culture",470000,6,2098,0.0
PloS One,Built Environment And Design,330000,1,2098,0.0
PloS One,Creative Arts And Writing,360000,1,2098,0.0
Scientific Reports,Biomedical And Clinical Sciences,320000,413,1269,0.33
Scientific Reports,Biological Sciences,310000,276,1269,0.22
Scientific Reports,Engineering,400000,117,1269,0.09
Scientific Reports,"Agricultural, Veterinary And Food Sciences",300000,97,1269,0.08
Scientific Reports,Physical Sciences,510000,91,1269,0.07
Scientific Reports,Health Sciences,420000,56,1269,0.04
Scientific Reports,Chemical Sciences,340000,50,1269,0.04
Scientific Reports,Psychology,520000,37,1269,0.03
Scientific Reports,Earth Sciences,370000,35,1269,0.03
Scientific Reports,Environmental Sciences,410000,28,1269,0.02
Scientific Reports,Mathematical Sciences,490000,25,1269,0.02
Scientific Reports,Information And Computing Sciences,460000,17,1269,0.01
Scientific Reports,"History, Heritage And Archaeology",430000,14,1269,0.01
Scientific Reports,Built Environment And Design,330000,3,1269,0.0
Scientific Reports,Education,390000,3,1269,0.0
Scientific Reports,"Commerce, Management, Tourism And Services",350000,2,1269,0.0
Scientific Reports,Human Society,440000,2,1269,0.0
Scientific Reports,"Language, Communication And Culture",470000,2,1269,0.0
Scientific Reports,Creative Arts And Writing,360000,1,1269,0.0
Monthly Notices of the Royal Astronomical Society,Physical Sciences,510000,1082,1092,0.99
Monthly Notices of the Royal Astronomical Society,Mathematical Sciences,490000,7,1092,0.01
Monthly Notices of the Royal Astronomical Society,Economics,380000,1,1092,0.0
Monthly Notices of the Royal Astronomical Society,Engineering,400000,1,1092,0.0
Monthly Notices of the Royal Astronomical Society,Information And Computing Sciences,460000,1,1092,0.0
BMJ Open,Biomedical And Clinical Sciences,320000,539,1036,0.52
BMJ Open,Health Sciences,420000,363,1036,0.35
BMJ Open,Indigenous Studies,450000,25,1036,0.02
