division,division_id,group,group_id
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,Agricultural biotechnology,300100
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,"Agriculture, land and farm management",300200
"Agricultural, Veterinary And Food Sciences",300000,Animal production,300300
"Agricultural, Veterinary And Food Sciences",300000,Animal production,300300
"Agricultural, Veterinary And Food Sciences",300000,Animal production,300300
"Agricultural, Veterinary And Food Sciences",300000,Animal production,300300
"Agricultural, Veterinary And Food Sciences",300000,Animal production,300300
"Agricultural, Veterinary And Food Sciences",300000,Animal production,300300
"Agricultural, Veterinary And Food Sciences",300000,Animal production,300300
"Agricultural, Veterinary And Food Sciences",300000,Animal production,300300
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Crop and pasture production,300400
"Agricultural, Veterinary And Food Sciences",300000,Fisheries sciences,300500
"Agricultural, Veterinary And Food Sciences",300000,Fisheries sciences,300500
"Agricultural, Veterinary And Food Sciences",300000,Fisheries sciences,300500
"Agricultural, Veterinary And Food Sciences",300000,Fisheries sciences,300500
"Agricultural, Veterinary And Food Sciences",300000,Fisheries sciences,300500
"Agricultural, Veterinary And Food Sciences",300000,Fisheries sciences,300500
"Agricultural, Veterinary And Food Sciences",300000,Fisheries sciences,300500
"Agricultural, Veterinary And Food Sciences",300000,Food sciences,300600
"Agricultural, Veterinary And Food Sciences",300000,Food sciences,300600
"Agricultural, Veterinary And Food Sciences",300000,Food sciences,300600
"Agricultural, Veterinary And Food Sciences",300000,Food sciences,300600
"Agricultural, Veterinary And Food Sciences",300000,Food sciences,300600
"Agricultural, Veterinary And Food Sciences",300000,Food sciences,300600
"Agricultural, Veterinary And Food Sciences",300000,Food sciences,300600
"Agricultural, Veterinary And Food Sciences",300000,Food sciences,300600
"Agricultural, Veterinary And Food Sciences",300000,Forestry sciences,300700
"Agricultural, Veterinary And Food Sciences",300000,Forestry sciences,300700
