IRMA System ID,Publication Title,OUTLET,CHRPUBLICATIONYEAR,PUBLICATION_CATEGORY,FORCODE1,FORCODE2,FORCODE3,EID,SCOPUS_ID,DESCRIPTION,DOI,STAFFNUMBER,NAME,Author Faculty,Author School,Author Department,Division_1,Group_1,Division_id_1,Group_id_1,Confidence_1,Division_2,Group_2,Division_id_2,Group_id_2,Confidence_2,Division_3,Group_3,Division_id_3,Group_id_3,Confidence_3,Division_match_1,Division_match_2,Division_match_3,Any_Division_Match,Group_match_1,Group_match_2,Group_match_3,Any_Group_Match
1000051xPUB11,Observations of the pulsation of the Cepheid l Car with the Sydney University Stellar Interferometer,Monthly Notices of the Royal Astronomical Society,2009,C1 - Refereed Journal articles,510109.0,,,2-s2.0-63549114141,,,10.1111/j.1365-2966.2009.14433.x,1000051,John Davis,Faculty of Science,School of Physics,Physics,Physical Sciences,Astronomical sciences,510000,510100,0.893,Physical Sciences,Space sciences,510000.0,510900.0,0.875,,,,,,True,True,False,True,True,False,False,True
1000078xPUB25,Harlequin in van Diemen's land,Script and Print: bulletin of the Bibliographical Society of Australia and New Zealand.,2009,C1 - Refereed Journal articles,470502.0,,,2-s2.0-77649086999,,,,1000078,Elizabeth Webby,Faculty of Arts and Social Sciences,"School of Art, Communication and English",Discipline of English and Writing,Creative Arts And Writing,Creative and professional writing,360000,360200,0.853,Creative Arts And Writing,Other creative arts and writing,360000.0,369900.0,0.829,Creative Arts And Writing,Performing arts,360000.0,360400.0,0.753,False,False,False,False,False,False,False,False
1000080xPUB22,JW Cross defends GH Lewes,George Eliot Review,2009,C1 - Refereed Journal articles,470504.0,,,,,,,1000080,Margaret Harris,Faculty of Arts and Social Sciences,"School of Art, Communication and English",Discipline of English and Writing,Law And Legal Studies,Private law and civil obligations,480000,480600,0.459,,,,,,,,,,,False,False,False,False,False,False,False,False
1000090xPUB17,Carbon Capture for Automobiles Using Internal Combustion Rankine Cycle Engines,Journal of Engineering for Gas Turbines and Power,2009,C1 - Refereed Journal articles,400201.0,,,2-s2.0-77955321698,,,10.1115/1.3077657,1000090,Robert Bilger,Faculty of Engineering,"School of Aerospace, Mechanical and Mechatronic Engineering","Aerospace, Mechanical and Mechatronic Engineering",Engineering,Automotive engineering,400000,400200,0.971,Engineering,Mechanical engineering,400000.0,401700.0,0.961,Engineering,Engineering practice and education,400000.0,401000.0,0.713,True,True,True,True,True,False,False,True
1000093xPUB1,The reliability of reports of recent psychoactive substance use at the time of admission to an acute mental health unit,Journal of Dual Diagnosis,2009,C1 - Refereed Journal articles,321402.0,,,2-s2.0-77951430786,,,10.1080/15504260903176039,1000093,Graham Starmer,Faculty of Medicine and Health,School of Medical Sciences,School of Medical Sciences: Pharmacology,Health Sciences,Health services and systems,420000,420300,0.779,Psychology,Clinical and health psychology,520000.0,520300.0,0.744,Biomedical And Clinical Sciences,Clinical sciences,320000.0,320200.0,0.633,False,False,True,True,False,False,False,False
1000099xPUB4,Dispersion relations for cylindrical waveguides with metamaterial linings,International Journal of Electronics,2009,C1 - Refereed Journal articles,510301.0,,,2-s2.0-57149109402,,,10.1080/00207210802492310,1000099,George Brand,Faculty of Science,School of Physics,Physics,Mathematical Sciences,Mathematical physics,490000,490200,0.611,Physical Sciences,"Atomic, molecular and optical physics",510000.0,510200.0,0.441,,,,,,False,True,False,True,False,False,False,False
1000100xPUB168,Measurement of cross sections of exclusive e+ e- -> V P processes at sqrt(s) = 10.58 GeV,Physics Letters B,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-71849109661,,,10.1016/j.physletb.2009.10.037,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,Particle and high energy physics,510000,510700,0.928,Physical Sciences,Quantum physics,510000.0,510800.0,0.909,Physical Sciences,Nuclear and plasma physics,510000.0,510600.0,0.901,True,True,True,True,True,False,False,True
1000100xPUB169,Measurements of charmless hadronic b->s penguin decays in the n+n-K+n- final state and first observation of B0->p0K+n-,Physical Review D,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-70349779598,,,10.1103/PhysRevD.80.051103,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,Nuclear and plasma physics,510000,510600,0.84,Physical Sciences,Particle and high energy physics,510000.0,510700.0,0.83,Physical Sciences,"Atomic, molecular and optical physics",510000.0,510200.0,0.661,True,True,True,True,False,True,False,True
1000100xPUB170,Observation of the doubly cabibbo-suppressed decay Ds+->K+K+n-,Physical Review Letters,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-66749105081,,,10.1103/PhysRevLett.102.221802,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Physical Sciences,Nuclear and plasma physics,510000,510600,0.743,Physical Sciences,Particle and high energy physics,510000.0,510700.0,0.704,Physical Sciences,"Atomic, molecular and optical physics",510000.0,510200.0,0.672,True,True,True,True,False,True,False,True
1000100xPUB171,Measurement of the differential branching fraction and forward-backward asymmetry for b->K(*)l+l-,Physical Review Letters,2009,C1 - Refereed Journal articles,510703.0,,,2-s2.0-70350230397,,,10.1103/PhysRevLett.103.171801,1000100,Andrew Bakich,Faculty of Science,School of Physics,Physics,Mathematical Sciences,Mathematical physics,490000,490200,0.858,Mathematical Sciences,Numerical and computational mathematics,490000.0,490300.0,0.785,Physical Sciences,Quantum physics,510000.0,510800.0,0.769,False,False,True,True,False,False,False,False
